type	latitude	longitude	name
T	37.7668000	-122.4299600	Twin Peaks Blvd (3.3 mi / 36 mins)
T	37.7642800	-122.4331000	
T	37.7629800	-122.4348100	
T	37.7627200	-122.4351800	
T	37.7625800	-122.4354600	
T	37.7625800	-122.4354600	
T	37.7624400	-122.4360300	
T	37.7622300	-122.4394900	
T	37.7622300	-122.4394900	
T	37.7620600	-122.4397000	
T	37.7618400	-122.4401400	
T	37.7618100	-122.4406000	
T	37.7616300	-122.4412200	
T	37.7616800	-122.4422000	
T	37.7617600	-122.4425700	
T	37.7617500	-122.4427600	
T	37.7616800	-122.4430500	
T	37.7612300	-122.4441300	
T	37.7611300	-122.4442500	
T	37.7607700	-122.4442800	
T	37.7605200	-122.4443700	
T	37.7602400	-122.4446400	
T	37.7596700	-122.4457000	
T	37.7595500	-122.4458300	
T	37.7590500	-122.4461100	
T	37.7587400	-122.4460300	
T	37.7587400	-122.4460300	
T	37.7587600	-122.4462600	
T	37.7588500	-122.4463900	
T	37.7588500	-122.4463900	
T	37.7584700	-122.4468000	
T	37.7578900	-122.4473100	
T	37.7581900	-122.4477400	
T	37.7589200	-122.4480000	
T	37.7591200	-122.4479000	
T	37.7591200	-122.4479000	
T	37.7590500	-122.4484800	
T	37.7590500	-122.4484800	
T	37.7585600	-122.4484800	
T	37.7580300	-122.4482900	
T	37.7578500	-122.4481800	
T	37.7572200	-122.4475800	
T	37.7568900	-122.4471200	
T	37.7563100	-122.4467800	
T	37.7563100	-122.4467800	
T	37.7562200	-122.4469100	
T	37.7561900	-122.4471200	
T	37.7559800	-122.4473500	
T	37.7560100	-122.4474200	
T	37.7559500	-122.4476100	
T	37.7558700	-122.4476500	
T	37.7558700	-122.4476500	
T	37.7558800	-122.4477500	
T	37.7558200	-122.4478700	
T	37.7556000	-122.4479800	
T	37.7547600	-122.4476700	
T	37.7542100	-122.4473700	
T	37.7538300	-122.4475400	
T	37.7536700	-122.4480400	
T	37.7535200	-122.4481600	
T	37.7534200	-122.4481700	
T	37.7525600	-122.4476400	
T	37.7524800	-122.4476300	
T	37.7522800	-122.4477400	
T	37.7519200	-122.4483500	
T	37.7516800	-122.4484800	
T	37.7513000	-122.4485400	
T	37.7511200	-122.4486300	
T	37.7511200	-122.4486300	
T	37.7509100	-122.4485300	
T	37.7508600	-122.4484000	
T	37.7508600	-122.4484000	
T	37.7507800	-122.4484500	
T	37.7507800	-122.4484500	
T	37.7502600	-122.4480200	
T	37.7502600	-122.4480200	
T	37.7502700	-122.4479600	
T	37.7499100	-122.4468200	
T	37.7499100	-122.4468200	
T	37.7498000	-122.4470800	
T	37.7497900	-122.4472500	
T	37.7496200	-122.4475300	
T	37.7495000	-122.4475500	
T	37.7495000	-122.4475500	
T	37.7494900	-122.4477400	
T	37.7493900	-122.4478500	
T	37.7477900	-122.4487800	
T	37.7468500	-122.4491800	
T	37.7466200	-122.4494700	
T	37.7463000	-122.4501300	
T	37.7461600	-122.4508300	
T	37.7460200	-122.4508800	
T	37.7459000	-122.4508200	
T	37.7459000	-122.4508200	
T	37.7455400	-122.4517800	
T	37.7455400	-122.4517800	
T	37.7454600	-122.4516800	
T	37.7454600	-122.4516800	
T	37.7451800	-122.4522800	
T	37.7451800	-122.4522800	
T	37.7442500	-122.4513900	
T	37.7439500	-122.4513400	
T	37.7437700	-122.4514200	
T	37.7436000	-122.4515900	
T	37.7436000	-122.4515900	
T	37.7428300	-122.4508700	
T	37.7422200	-122.4506400	
T	37.7418200	-122.4506100	
T	37.7418200	-122.4506100	
T	37.7412900	-122.4496800	
T	37.7410800	-122.4494200	
T	37.7405400	-122.4489800	
T	37.7400400	-122.4482300	
T	37.7398500	-122.4478500	
T	37.7398500	-122.4478500	
T	37.7393800	-122.4478300	
T	37.7388700	-122.4478800	
T	37.7380700	-122.4481500	
